"","CL0","CL1","CL2","CL3","CL4","CL5","CL6"
"CL0",0,0,0,0,0,0,0
"CL1",0,0,0,0,0,0,0
"CL2",0,0,0,0,0,0,0
"CL3",0,0,0,0,0,0,0
"CL4",0,0,1,0,1,0,0
"CL5",8,2,2,10,94,133,141
"CL6",24,1,7,44,201,550,666
